actors,budget,country,creator,description,duration,genre,public,score,title,year
"Henry Fonda, Jane Darwell, John Carradine",800000,United States,John Ford,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great...",129,Drama,Passed,8.1,The Grapes of Wrath,1940
"Carole Lombard, Jack Benny, Robert Stack",3270000,United States,Ernst Lubitsch,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",99,Comedy,Passed,8.1,To Be or Not to Be,1942
"Georg Hurdalek, Howard Lindsay, Russel Crouse",8200000,United States,Robert Wise,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,172,Biography,G,8.1,The Sound of Music,1965
"Kim Min-hee, Ha Jung-woo, Cho Jin-woong",10000000000,South Korea,Park Chan-wook,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",145,Drama,Not Rated,8.1,The Handmaiden,2016
"Emile Hirsch, Vince Vaughn, Catherine Keener",15000000,United States,Sean Penn,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska ...",148,Adventure,R,8.1,Into the Wild,2007
"Çetin Tekindor, Fikret Kuskan, Hümeyra",18612999,Turkey,Çagan Irmak,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,112,Drama,Not Rated,8.2,My Father and My Son,2005
"Franco Solinas, Gillo Pontecorvo, Brahim Hadjadj",800000,Italy,Gillo Pontecorvo,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",121,Drama,Not Rated,8.1,The Battle of Algiers,1966
"Craig T. Nelson, Samuel L. Jackson, Holly Hunter",92000000,United States,Brad Bird,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",115,Animation,PG,8.0,The Incredibles,2004
"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa",16000000,United Kingdom,Lasse Hallström,"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker's loyal companion. As their bond g...",93,Biography,G,8.1,Hachi: A Dog's Tale,2009
"Noel Langley, Florence Ryerson, Edgar Allan Woolf",2777000,United States,Victor Fleming,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can retu...",102,Adventure,G,8.1,The Wizard of Oz,1939
"Daniel Brühl, Chris Hemsworth, Olivia Wilde",38000000,United Kingdom,Ron Howard,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,123,Action,R,8.1,Rush,2013
"Wil Wheaton, River Phoenix, Corey Feldman",8000000,United States,Rob Reiner,A writer recounts a childhood journey with his friends to find the body of a missing boy.,89,Adventure,R,8.1,Stand by Me,1986
"Ted Elliott, Terry Rossio, Stuart Beattie",140000000,United States,Gore Verbinski,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",143,Action,PG-13,8.1,Pirates of the Caribbean: The Curse of the Black Pearl,2003
"Faye Dunaway, William Holden, Peter Finch",3800000,United States,Sidney Lumet,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",121,Drama,R,8.1,Network,1976
"William Peter Blatty, Ellen Burstyn, Max von Sydow",11000000,United States,William Friedkin,"When a young girl is possessed by a mysterious entity, her mother seeks the help of two Catholic priests to save her life.",122,Horror,R,8.1,The Exorcist,1973
"Suriya, Lijo Mol Jose, Manikandan K.",,India,T.J. Gnanavel,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",164,Crime,TV-MA,8.7,Jai Bhim,2021
"Myrna Loy, Dana Andrews, Fredric March",2100000,United States,William Wyler,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",170,Drama,Approved,8.1,The Best Years of Our Lives,1946
"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui",2590000,France,Mathieu Kassovitz,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,98,Crime,Not Rated,8.1,La haine,1995
"Richard Linklater, Julie Delpy, Ethan Hawke",2700000,France,Richard Linklater,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",80,Drama,R,8.1,Before Sunset,2004
"Charlie Sheen, Tom Berenger, Willem Dafoe",6000000,United States,Oliver Stone,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and th...",120,Drama,R,8.1,Platoon,1986
"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn",6400000,United Kingdom,James Cameron,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn so...",107,Action,R,8.1,The Terminator,1984
"Maria Falconetti, Eugene Silvain, André Berley",21877,France,Carl Theodor Dreyer,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",114,Biography,Passed,8.1,The Passion of Joan of Arc,1928
