actors,budget,country,creator,description,duration,genre,public,score,title,year
"Steve McQueen, James Garner, Richard Attenborough",4000000,United States,John Sturges,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,172,Adventure,Approved,8.2,The Great Escape,1963
"Graham Chapman, John Cleese, Eric Idle",229575,United Kingdom,Terry Gilliam,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",91,Adventure,PG,8.2,Monty Python and the Holy Grail,1975
"Akira Kurosawa, Ryûzô Kikushima, Toshirô Mifune",46808,Japan,Akira Kurosawa,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,110,Action,Not Rated,8.2,Yojimbo,1961
"Andrew Stanton, Bob Peterson, David Reynolds",94000000,United States,Andrew Stanton,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",100,Animation,G,8.2,Finding Nemo,2003
"Quentin Tarantino, Uma Thurman, Uma Thurman",30000000,United States,Quentin Tarantino,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",111,Action,R,8.2,Kill Bill: Vol. 1,2003
"Kurt Russell, Wilford Brimley, Keith David",15000000,United States,John Carpenter,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,109,Horror,R,8.2,The Thing,1982
"Humphrey Bogart, Walter Huston, Tim Holt",3000000,United States,John Huston,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,126,Adventure,Passed,8.2,The Treasure of the Sierra Madre,1948
"Tommy Lee Jones, Javier Bardem, Josh Brolin",25000000,United States,Ethan Coen,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,122,Crime,R,8.2,No Country for Old Men,2007
"Clint Eastwood, Gene Hackman, Morgan Freeman",14400000,United States,Clint Eastwood,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",130,Drama,R,8.2,Unforgiven,1992
"Russell Crowe, Ed Harris, Jennifer Connelly",58000000,United States,Ron Howard,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a...",135,Biography,PG-13,8.2,A Beautiful Mind,2001
"Bruce Willis, Haley Joel Osment, Toni Collette",40000000,United States,M. Night Shyamalan,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wi...",107,Drama,PG-13,8.2,The Sixth Sense,1999
"Ivana Baquero, Ariadna Gil, Sergi López",19000000,Mexico,Guillermo del Toro,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",118,Drama,R,8.2,Pan's Labyrinth,2006
"Michael Crichton, David Koepp, Sam Neill",63000000,United States,Steven Spielberg,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned din...,127,Action,PG-13,8.2,Jurassic Park,1993
"Nicholas Pileggi, Martin Scorsese, Robert De Niro",52000000,United States,Martin Scorsese,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.",178,Crime,R,8.2,Casino,1995
"Akira Kurosawa, Hideo Oguni, Masato Ide",11500000,Japan,Akira Kurosawa,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn o...",160,Action,R,8.2,Ran,1985
"Daniel Day-Lewis, Paul Dano, Ciarán Hinds",25000000,United States,Paul Thomas Anderson,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",158,Drama,R,8.2,There Will Be Blood,2007
"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo",80000000,United States,Martin Scorsese,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about th...",138,Drama,R,8.2,Shutter Island,2010
"Bette Davis, Anne Baxter, George Sanders",1400000,United States,Joseph L. Mankiewicz,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,138,Drama,Passed,8.2,All About Eve,1950
"Jim Carrey, Ed Harris, Laura Linney",60000000,United States,Peter Weir,An insurance salesman discovers his whole life is actually a reality TV show.,103,Comedy,PG,8.2,The Truman Show,1998
"Christopher Hampton, Florian Zeller, Anthony Hopkins",6000000,United Kingdom,Florian Zeller,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his...",97,Drama,PG-13,8.2,The Father,2020
"Abby Mann, Montgomery Clift, Spencer Tracy",3000000,United States,Stanley Kramer,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",179,Drama,Approved,8.3,Judgment at Nuremberg,1961
"Jim Cash, Jack Epps Jr., Peter Craig",170000000,United States,Joseph Kosinski,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ...",130,Action,PG-13,8.2,Top Gun: Maverick,2022
"Leonardo DiCaprio, Jonah Hill, Margot Robbie",100000000,United States,Martin Scorsese,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",180,Biography,R,8.2,The Wolf of Wall Street,2013
"Billy Wilder, I.A.L. Diamond, Robert Thoeren",2883848,United States,Billy Wilder,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",121,Comedy,Passed,8.2,Some Like It Hot,1959
"Bob Kane, David S. Goyer, Christopher Nolan",150000000,United States,Christopher Nolan,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the ci...",140,Action,PG-13,8.2,Batman Begins,2005
"Viggo Mortensen, Mahershala Ali, Linda Cardellini",23000000,United States,Peter Farrelly,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,130,Biography,PG-13,8.2,Green Book,2018
"Sergio Leone, Fulvio Morsella, Luciano Vincenzoni",600000,Italy,Sergio Leone,"Two bounty hunters with the same intentions team up to track down a gang of outlaws led by a psychotic Mexican bandit, who is plotting an audacious bank robbery.",132,Drama,R,8.2,For a Few Dollars More,1965
"Charles Chaplin, Edna Purviance, Jackie Coogan",250000,United States,Charles Chaplin,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",68,Comedy,Passed,8.2,The Kid,1921
"Piyush Gupta, Shreyas Jain, Nikhil Mehrotra",700000000,India,Nitesh Tiwari,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,161,Action,Not Rated,8.3,Dangal,2016
"Bernd Eichinger, Joachim Fest, Traudl Junge",13500000,Germany,Oliver Hirschbiegel,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",156,Biography,R,8.2,Downfall,2004
"Robert De Niro, Jodie Foster, Cybill Shepherd",1300000,United States,Martin Scorsese,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",114,Crime,R,8.2,Taxi Driver,1976
"Dean-Charles Chapman, George MacKay, Daniel Mays",95000000,United Kingdom,Sam Mendes,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from wa...",119,Action,R,8.2,1917,2019
"Cesare Zavattini, Luigi Bartolini, Oreste Biancoli",133000,Italy,Vittorio De Sica,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",89,Drama,Not Rated,8.3,Bicycle Thieves,1948
"Jason Statham, Brad Pitt, Stephen Graham",6000000,United Kingdom,Guy Ritchie,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",102,Comedy,R,8.2,Snatch,2000
"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr.",,United States,Thomas Kail,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the origi...",160,Biography,PG-13,8.3,Hamilton,2020
"Kevin Spacey, Russell Crowe, Guy Pearce",35000000,United States,Curtis Hanson,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",138,Crime,R,8.2,L.A. Confidential,1997
"Thea von Harbou, Fritz Lang, Brigitte Helm",6000000,Germany,Fritz Lang,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a...",153,Drama,Not Rated,8.3,Metropolis,1927
"Darsheel Safary, Aamir Khan, Tisca Chopra",1223869,India,Aamir Khan,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",162,Drama,PG,8.3,Like Stars on Earth,2007
"Jeffrey Boam, George Lucas, Menno Meyjes",48000000,United States,Steven Spielberg,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",127,Action,PG-13,8.2,Indiana Jones and the Last Crusade,1989
"Payman Maadi, Leila Hatami, Sareh Bayat",500000,Iran,Asghar Farhadi,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzhei...,123,Drama,PG-13,8.3,A Separation,2011
"Bruce Willis, Alan Rickman, Bonnie Bedelia",28000000,United States,John McTiernan,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,132,Action,R,8.2,Die Hard,1988
"Paul Newman, Robert Redford, Robert Shaw",5500000,United States,George Roy Hill,Two grifters team up to pull off the ultimate con.,129,Comedy,PG,8.3,The Sting,1973
"Malcolm McDowell, Patrick Magee, Michael Bates",2200000,United Kingdom,Stanley Kubrick,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",136,Crime,X,8.3,A Clockwork Orange,1971
"Al Pacino, Robert De Niro, Val Kilmer",60000000,United States,Michael Mann,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,170,Action,R,8.3,Heat,1995
"Pete Docter, Bob Peterson, Tom McCarthy",175000000,United States,Pete Docter,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",96,Animation,PG,8.3,Up,2009
"Gregory Peck, John Megna, Frank Overton",2000000,United States,Robert Mulligan,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.",129,Crime,Approved,8.3,To Kill a Mockingbird,1962
"Guillaume Laurant, Jean-Pierre Jeunet, Audrey Tautou",10000000,France,Jean-Pierre Jeunet,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.",122,Comedy,R,8.3,Amélie,2001
"Stanley Kubrick, Michael Herr, Gustav Hasford",30000000,United Kingdom,Stanley Kubrick,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,116,Drama,R,8.3,Full Metal Jacket,1987
"Denis Villeneuve, Wajdi Mouawad, Valérie Beaugrand-Champagne",6800000,Canada,Denis Villeneuve,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,131,Drama,R,8.3,Incendies,2010
"Oliver Stone, Howard Hawks, Ben Hecht",25000000,United States,Brian De Palma,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",170,Crime,18+,8.3,Scarface,1983
"Peter Lorre, Ellen Widmann, Inge Landgut",35566,Germany,Fritz Lang,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",99,Crime,Passed,8.3,M,1931
"Peter O'Toole, Alec Guinness, Anthony Quinn",15000000,United Kingdom,David Lean,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",218,Adventure,Approved,8.3,Lawrence of Arabia,1962
"Cary Grant, Eva Marie Saint, James Mason",3101000,United States,Alfred Hitchcock,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",136,Action,Approved,8.3,North by Northwest,1959
"Herman J. Mankiewicz, Orson Welles, John Houseman",839727,United States,Orson Welles,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",119,Drama,PG,8.3,Citizen Kane,1941
"Jack Lemmon, Shirley MacLaine, Fred MacMurray",3000000,United States,Billy Wilder,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",125,Comedy,Approved,8.3,The Apartment,1960
"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson",927262,United States,Billy Wilder,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigato...",107,Crime,Passed,8.3,Double Indemnity,1944
"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori",60239,Japan,Akira Kurosawa,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,143,Drama,Not Rated,8.3,Ikiru,1952
"Stanley Kubrick, Arthur C. Clarke, Keir Dullea",12000000,United Kingdom,Stanley Kubrick,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.",149,Adventure,G,8.3,2001: A Space Odyssey,1968
"Quentin Tarantino, Roger Avary, Harvey Keitel",1200000,United States,Quentin Tarantino,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",99,Crime,R,8.3,Reservoir Dogs,1992
"Alec Coppel, Samuel A. Taylor, Pierre Boileau",2479000,United States,Alfred Hitchcock,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply dis...",128,Mystery,PG,8.3,Vertigo,1958
"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp",20000000,Denmark,Thomas Vinterberg,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to...",115,Drama,R,8.3,The Hunt,2012
"Charlie Kaufman, Michel Gondry, Pierre Bismuth",20000000,United States,Michel Gondry,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.",108,Drama,R,8.3,Eternal Sunshine of the Spotless Mind,2004
"Lawrence Kasdan, George Lucas, Mark Hamill",32500000,United States,Richard Marquand,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.",131,Action,PG,8.3,Star Wars: Episode VI - Return of the Jedi,1983
"Ales Adamovich, Elem Klimov, Aleksey Kravchenko",71909,Soviet Union,Elem Klimov,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",142,Drama,Not Rated,8.4,Come and See,1985
"Hubert Selby Jr., Darren Aronofsky, Ellen Burstyn",4500000,United States,Darren Aronofsky,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,102,Drama,Unrated,8.3,Requiem for a Dream,2000
"Nadine Labaki, Jihad Hojeily, Michelle Keserwany",4000000,Lebanon,Nadine Labaki,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",126,Drama,R,8.4,Capernaum,2018
"Gene Kelly, Donald O'Connor, Debbie Reynolds",2540800,United States,Stanley Donen,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,103,Comedy,G,8.3,Singin' in the Rain,1952
"Abhijat Joshi, Rajkumar Hirani, Vidhu Vinod Chopra",550000000,India,Rajkumar Hirani,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t...",170,Comedy,PG-13,8.4,3 Idiots,2009
"John Lasseter, Andrew Stanton, Lee Unkrich",200000000,United States,Lee Unkrich,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned ...",103,Animation,G,8.3,Toy Story 3,2010
"Makoto Shinkai, Clark Cheng, Ryunosuke Kamiki",370000000,Japan,Makoto Shinkai,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",106,Animation,TV-PG,8.4,Your Name.,2016
"Hideo Oguni, Ryûzô Kikushima, Eijirô Hisaita",46808,Japan,Akira Kurosawa,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,143,Crime,Not Rated,8.4,High and Low,1963
"Harry Grey, Leonardo Benvenuti, Piero De Bernardi",30000000,United States,Sergio Leone,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",229,Crime,R,8.3,Once Upon a Time in America,1984
"Hayao Miyazaki, Neil Gaiman, Yôji Matsuda",2400000000,Japan,Hayao Miyazaki,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, th...",134,Animation,PG-13,8.3,Princess Mononoke,1997
"Robin Williams, Matt Damon, Ben Affleck",10000000,United States,Gus Van Sant,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",126,Drama,R,8.3,Good Will Hunting,1997
"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann",32000000,West Germany,Wolfgang Petersen,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,,Drama,,8.4,The Boat,1981
"Todd Phillips, Scott Silver, Bob Kane",55000000,United States,Todd Phillips,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",122,Crime,R,8.4,Joker,2019
"Cillian Murphy, Emily Blunt, Matt Damon",100000000,United States,Christopher Nolan,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,180,Biography,R,8.3,Oppenheimer,2023
"Christopher Markus, Stephen McFeely, Stan Lee",356000000,United States,Anthony Russo,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' action...",181,Action,PG-13,8.4,Avengers: Endgame,2019
"Mel Gibson, Sophie Marceau, Patrick McGoohan",72000000,United States,Mel Gibson,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,178,Biography,R,8.3,Braveheart,1995
"Peter Shaffer, Zdenek Mahler, F. Murray Abraham",18000000,United States,Milos Forman,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him...",160,Biography,PG,8.4,Amadeus,1984
"John Lasseter, Pete Docter, Andrew Stanton",30000000,United States,John Lasseter,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,81,Animation,G,8.3,Toy Story,1995
"Stanley Kubrick, Terry Southern, Peter George",1800000,United Kingdom,Stanley Kubrick,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",95,Comedy,PG,8.4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
"Lee Unkrich, Jason Katz, Matthew Aldrich",175000000,United States,Lee Unkrich,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",105,Animation,PG,8.4,Coco,2017
"Kevin Spacey, Annette Bening, Thora Birch",15000000,United States,Sam Mendes,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,122,Drama,R,8.3,American Beauty,1999
"Jonathan Nolan, Christopher Nolan, David S. Goyer",250000000,United States,Christopher Nolan,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terro...",164,Action,PG-13,8.4,The Dark Knight Rises,2012
"Garon Tsuchiya, Nobuaki Minegishi, Park Chan-wook",3000000,South Korea,Park Chan-wook,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",120,Action,R,8.3,Oldboy,2003
"Brad Pitt, Diane Kruger, Eli Roth",70000000,Germany,Quentin Tarantino,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",153,Adventure,R,8.4,Inglourious Basterds,2009
"James Cameron, David Giler, Walter Hill",18500000,United Kingdom,James Cameron,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",137,Action,R,8.4,Aliens,1986
"Charles Chaplin, Paulette Goddard, Jack Oakie",2000000,United States,Charles Chaplin,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,125,Comedy,G,8.4,The Great Dictator,1940
"Agatha Christie, Billy Wilder, Harry Kurnitz",3000000,United States,Billy Wilder,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,116,Crime,Approved,8.4,Witness for the Prosecution,1957
"Jack Nicholson, Shelley Duvall, Danny Lloyd",19000000,United Kingdom,Stanley Kubrick,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",146,Drama,R,8.4,The Shining,1980
"Phil Lord, Rodney Rothman, Shameik Moore",90000000,Canada,Bob Persichetti,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,117,Animation,PG,8.4,Spider-Man: Into the Spider-Verse,2018
"Christopher Markus, Stephen McFeely, Stan Lee",321000000,United States,Anthony Russo,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,149,Action,PG-13,8.4,Avengers: Infinity War,2018
"William Holden, Gloria Swanson, Erich von Stroheim",1752000,United States,Billy Wilder,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,110,Drama,Passed,8.4,Sunset Blvd.,1950
"Ulrich Mühe, Martina Gedeck, Sebastian Koch",2000000,Germany,Florian Henckel von Donnersmarck,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",137,Drama,R,8.4,The Lives of Others,2006
"Harrison Ford, Karen Allen, Paul Freeman",18000000,United States,Steven Spielberg,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",115,Action,PG,8.4,Raiders of the Lost Ark,1981
"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano",9000000,United States,Christopher Nolan,A man with short-term memory loss attempts to track down his wife's murderer.,113,Mystery,R,8.4,Memento,2000
"Andrew Stanton, Pete Docter, Jim Reardon",180000000,United States,Andrew Stanton,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",98,Animation,G,8.4,WALL·E,2008
"Stanley Kubrick, Calder Willingham, Jim Thompson",935000,United States,Stanley Kubrick,"After a failed attack on a German position, a general orders three soldiers, chosen at random, court-martialed for cowardice and their commanding officer must defend them.",88,Drama,Approved,8.4,Paths of Glory,1957
"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio",100000000,United States,Quentin Tarantino,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",165,Drama,R,8.5,Django Unchained,2012
"Charles Chaplin, Virginia Cherrill, Florence Lee",1500000,United States,Charles Chaplin,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",87,Comedy,G,8.5,City Lights,1931
"Vidhu Vinod Chopra, Jaskunwar Kohli, Anurag Pathak",138288,India,Vidhu Vinod Chopra,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,,Biography,,9.0,12th Fail,2023
"Sergio Donati, Sergio Leone, Dario Argento",5000000,Italy,Sergio Leone,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,166,Western,PG-13,8.5,Once Upon a Time in the West,1968
"Dan O'Bannon, Ronald Shusett, Sigourney Weaver",11000000,United Kingdom,Ridley Scott,The crew of a commercial spacecraft encounters a deadly lifeform after investigating a mysterious transmission of unknown origin.,117,Horror,R,8.5,Alien,1979
"John Milius, Francis Ford Coppola, Michael Herr",31500000,United States,Francis Ford Coppola,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,147,Drama,R,8.4,Apocalypse Now,1979
"James Stewart, Grace Kelly, Wendell Corey",1000000,United States,Alfred Hitchcock,"A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of...",112,Mystery,PG,8.5,Rear Window,1954
"Charles Chaplin, Paulette Goddard, Henry Bergman",1500000,United States,Charles Chaplin,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,87,Comedy,G,8.5,Modern Times,1936
"Giuseppe Tornatore, Vanna Paoli, Philippe Noiret",5000000,Italy,Giuseppe Tornatore,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,174,Drama,PG,8.5,Cinema Paradiso,1988
"François Cluzet, Omar Sy, Anne Le Ny",9500000,France,Olivier Nakache,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",112,Comedy,R,8.5,The Intouchables,2011
"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita",15222,Japan,Masaki Kobayashi,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so ...",133,Action,Not Rated,8.6,Harakiri,1962
"Kevin Spacey, Gabriel Byrne, Chazz Palminteri",6000000,United States,Bryan Singer,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,106,Crime,R,8.5,The Usual Suspects,1995
"Julius J. Epstein, Philip G. Epstein, Howard Koch",950000,United States,Michael Curtiz,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,102,Drama,PG,8.5,Casablanca,1942
"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi",3700000,Japan,Isao Takahata,A young boy and his little sister struggle to survive in Japan during World War II.,89,Animation,Not Rated,8.5,Grave of the Fireflies,1988
"Christian Bale, Hugh Jackman, Scarlett Johansson",40000000,United Kingdom,Christopher Nolan,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",130,Drama,PG-13,8.5,The Prestige,2006
"Miles Teller, J.K. Simmons, Melissa Benoist",3300000,United States,Damien Chazelle,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,106,Drama,R,8.5,Whiplash,2014
